service_id,date,exception_type
IDFM:1,20240906,1
IDFM:1377,20240727,1
IDFM:1378,20240718,1
IDFM:1378,20240717,1
IDFM:1378,20240716,1
IDFM:1378,20240715,1
IDFM:1379,20240718,1
IDFM:1379,20240716,1
IDFM:1379,20240715,1
IDFM:1389,20240718,1
IDFM:1389,20240717,1
IDFM:1389,20240716,1
IDFM:1389,20240715,1
IDFM:1396,20240718,1
IDFM:1396,20240717,1
IDFM:1396,20240716,1
IDFM:1396,20240715,1
IDFM:1396,20240726,2
IDFM:1423,20240726,1
IDFM:1423,20240725,1
IDFM:1423,20240724,1
IDFM:1423,20240723,1
IDFM:1423,20240722,1
IDFM:1423,20240731,1
IDFM:1423,20240730,1
IDFM:1423,20240729,1
IDFM:1486,20240727,2
IDFM:1639,20240726,1
IDFM:1639,20240725,1
IDFM:1643,20240726,1
IDFM:1643,20240725,1
IDFM:1813,20240731,1
IDFM:1813,20240730,1
IDFM:1813,20240729,1
IDFM:2539,20240718,1
IDFM:2539,20240725,1
IDFM:2713,20240726,1
IDFM:2713,20240725,1
IDFM:2713,20240724,1
IDFM:2713,20240723,1
IDFM:2713,20240722,1
IDFM:2713,20240731,1
IDFM:2713,20240730,1
IDFM:2713,20240729,1
IDFM:2768,20240718,1
IDFM:2768,20240725,1
IDFM:3307,20240718,1
IDFM:3307,20240717,1
IDFM:3307,20240716,1
IDFM:3307,20240715,1
IDFM:3307,20240726,2
IDFM:3313,20240718,1
IDFM:3313,20240717,1
IDFM:3313,20240716,1
IDFM:3313,20240715,1
IDFM:3313,20240726,2
IDFM:3637,20240721,1
IDFM:3637,20240718,1
IDFM:3637,20240728,1
IDFM:3637,20240725,1
IDFM:3645,20240718,1
IDFM:3645,20240725,1
IDFM:4653,20240726,1
IDFM:4653,20240725,1
IDFM:4653,20240724,1
IDFM:4653,20240723,1
IDFM:4653,20240722,1
IDFM:4653,20240731,1
IDFM:4653,20240730,1
IDFM:4653,20240729,1
IDFM:5139,20240906,2
IDFM:5139,20240905,2
IDFM:5139,20240904,2
IDFM:5139,20240903,2
IDFM:5139,20240902,2
IDFM:10000,20240815,2
IDFM:11136,20240816,2
IDFM:18770,20240907,1
IDFM:21197,20240815,2
IDFM:23848,20240815,2
IDFM:24714,20240815,2
IDFM:25976,20240720,2
IDFM:25976,20240727,2
IDFM:25976,20240803,2
IDFM:25976,20240810,2
IDFM:25976,20240817,2
IDFM:25977,20240719,2
IDFM:25977,20240718,2
IDFM:25977,20240717,2
IDFM:25977,20240716,2
IDFM:25977,20240715,2
IDFM:25977,20240726,2
IDFM:25977,20240725,2
IDFM:25977,20240724,2
IDFM:25977,20240723,2
IDFM:25977,20240722,2
IDFM:25977,20240802,2
IDFM:25977,20240801,2
IDFM:25977,20240731,2
IDFM:25977,20240730,2
IDFM:25977,20240729,2
IDFM:25977,20240809,2
IDFM:25977,20240808,2
IDFM:25977,20240807,2
IDFM:25977,20240806,2
IDFM:25977,20240805,2
IDFM:25977,20240816,2
IDFM:25977,20240815,2
IDFM:25977,20240814,2
IDFM:25977,20240813,2
IDFM:25977,20240812,2
IDFM:25980,20240718,1
IDFM:25980,20240725,1
IDFM:25980,20240801,1
IDFM:25980,20240808,1
IDFM:25980,20240823,2
IDFM:25980,20240821,2
IDFM:25980,20240820,2
IDFM:25980,20240819,2
IDFM:25980,20240830,2
IDFM:25980,20240828,2
IDFM:25980,20240827,2
IDFM:25980,20240826,2
IDFM:25980,20240906,2
IDFM:25980,20240904,2
IDFM:25980,20240903,2
IDFM:25980,20240902,2
IDFM:25981,20240721,2
IDFM:25981,20240720,2
IDFM:25981,20240719,2
IDFM:25981,20240718,2
IDFM:25981,20240717,2
IDFM:25981,20240716,2
IDFM:25981,20240715,2
IDFM:25981,20240728,2
IDFM:25981,20240727,2
IDFM:25981,20240726,2
IDFM:25981,20240725,2
IDFM:25981,20240724,2
IDFM:25981,20240723,2
IDFM:25981,20240722,2
IDFM:25981,20240804,2
IDFM:25981,20240803,2
IDFM:25981,20240802,2
IDFM:25981,20240801,2
IDFM:25981,20240731,2
IDFM:25981,20240730,2
IDFM:25981,20240729,2
IDFM:25981,20240811,2
IDFM:25981,20240810,2
IDFM:25981,20240809,2
IDFM:25981,20240808,2
IDFM:25981,20240807,2
IDFM:25981,20240806,2
IDFM:25981,20240805,2
